transaction_id,product_id,product_name,category,quantity,price,customer_city,payment_method,revenue
TXN001,P001,Laptop,Electronics,1,65000.0,Bangalore,UPI,65000.0
TXN002,P008,Bluetooth Speaker,Electronics,4,2999.0,Delhi,Credit Card,11996.0
TXN003,P015,Kurta,Clothing,2,3999.0,Mumbai,Debit Card,7998.0
TXN004,P022,Atomic Habits,Books,5,599.0,Chennai,Cash,2995.0
TXN005,P029,Wings Of Fire,Books,3,375.0,Hyderabad,Net Banking,1125.0
TXN006,P006,Smartwatch,Electronics,1,4999.0,Pune,UPI,4999.0
TXN007,P013,T-Shirt,Clothing,4,1499.0,Bangalore,Credit Card,5996.0
TXN008,P020,Cargo Trousers,Clothing,2,2699.0,Delhi,Debit Card,5398.0
TXN009,P027,Rich Dad Poor Dad,Books,5,450.0,Mumbai,Cash,2250.0
TXN010,P004,Smart Tv,Electronics,3,72000.0,Chennai,Net Banking,216000.0
TXN011,P011,Formal Shirt,Clothing,1,2499.0,Hyderabad,UPI,2499.0
TXN012,P018,Track Pants,Clothing,4,2199.0,Pune,Credit Card,8796.0
TXN013,P025,Deep Work,Books,2,549.0,Bangalore,Debit Card,1098.0
TXN014,P002,Smartphone,Electronics,5,42000.0,Delhi,Cash,210000.0
TXN015,P009,Monitor,Electronics,3,18500.0,Mumbai,Net Banking,55500.0
TXN016,P016,Saree,Clothing,1,4499.0,Chennai,UPI,4499.0
TXN017,P023,The Alchemist,Books,4,399.0,Hyderabad,Credit Card,1596.0
TXN018,P030,The Psychology Of Money,Books,2,525.0,Pune,Debit Card,1050.0
TXN019,P007,Camera,Electronics,5,58000.0,Bangalore,Cash,290000.0
TXN020,P014,Jacket,Clothing,3,5999.0,Delhi,Net Banking,17997.0
TXN021,P021,Python Crash Course,Books,1,899.0,Mumbai,UPI,899.0
TXN022,P028,Think Like A Monk,Books,4,650.0,Chennai,Credit Card,2600.0
TXN023,P005,Headphones,Electronics,2,6500.0,Hyderabad,Debit Card,13000.0
TXN024,P012,Denim Jeans,Clothing,5,3499.0,Pune,Cash,17495.0
TXN025,P019,Sweater,Clothing,3,2899.0,Bangalore,Net Banking,8697.0
TXN026,P026,Ikigai,Books,1,499.0,Delhi,UPI,499.0
TXN027,P003,Tablet,Electronics,4,55000.0,Mumbai,Credit Card,220000.0
TXN028,P010,Keyboard,Electronics,2,2500.0,Chennai,Debit Card,5000.0
TXN029,P017,Hoodie,Clothing,5,3299.0,Hyderabad,Cash,16495.0
TXN030,P024,Clean Code,Books,3,799.0,Pune,Net Banking,2397.0
TXN031,P001,Laptop,Electronics,1,65000.0,Bangalore,UPI,65000.0
TXN032,P008,Bluetooth Speaker,Electronics,4,2999.0,Delhi,Credit Card,11996.0
TXN033,P015,Kurta,Clothing,2,3999.0,Mumbai,Debit Card,7998.0
TXN034,P022,Atomic Habits,Books,5,599.0,Chennai,Cash,2995.0
TXN035,P029,Wings Of Fire,Books,3,375.0,Hyderabad,Net Banking,1125.0
TXN036,P006,Smartwatch,Electronics,1,4999.0,Pune,UPI,4999.0
TXN037,P013,T-Shirt,Clothing,4,1499.0,Bangalore,Credit Card,5996.0
TXN038,P020,Cargo Trousers,Clothing,2,2699.0,Delhi,Debit Card,5398.0
TXN039,P027,Rich Dad Poor Dad,Books,5,450.0,Mumbai,Cash,2250.0
TXN040,P004,Smart Tv,Electronics,3,72000.0,Chennai,Net Banking,216000.0
TXN041,P011,Formal Shirt,Clothing,1,2499.0,Hyderabad,UPI,2499.0
TXN042,P018,Track Pants,Clothing,4,2199.0,Pune,Credit Card,8796.0
TXN043,P025,Deep Work,Books,2,549.0,Bangalore,Debit Card,1098.0
TXN044,P002,Smartphone,Electronics,5,42000.0,Delhi,Cash,210000.0
TXN045,P009,Monitor,Electronics,3,18500.0,Mumbai,Net Banking,55500.0
TXN046,P016,Saree,Clothing,1,4499.0,Chennai,UPI,4499.0
TXN047,P023,The Alchemist,Books,4,399.0,Hyderabad,Credit Card,1596.0
TXN048,P030,The Psychology Of Money,Books,2,525.0,Pune,Debit Card,1050.0
TXN049,P007,Camera,Electronics,5,58000.0,Bangalore,Cash,290000.0
TXN050,P014,Jacket,Clothing,3,5999.0,Delhi,Net Banking,17997.0
TXN051,P021,Python Crash Course,Books,1,899.0,Mumbai,UPI,899.0
TXN052,P028,Think Like A Monk,Books,4,650.0,Chennai,Credit Card,2600.0
TXN053,P005,Headphones,Electronics,2,6500.0,Hyderabad,Debit Card,13000.0
TXN054,P012,Denim Jeans,Clothing,5,3499.0,Pune,Cash,17495.0
TXN055,P019,Sweater,Clothing,3,2899.0,Bangalore,Net Banking,8697.0
TXN056,P026,Ikigai,Books,1,499.0,Delhi,UPI,499.0
TXN057,P003,Tablet,Electronics,4,55000.0,Mumbai,Credit Card,220000.0
TXN058,P010,Keyboard,Electronics,2,2500.0,Chennai,Debit Card,5000.0
TXN059,P017,Hoodie,Clothing,5,3299.0,Hyderabad,Cash,16495.0
TXN060,P024,Clean Code,Books,3,799.0,Pune,Net Banking,2397.0
